image_path,label,split,category
carpet/train/good/210.png,0,train,carpet
carpet/train/good/107.png,0,train,carpet
carpet/train/good/260.png,0,train,carpet
carpet/test/color/010.png,1,train,carpet
carpet/test/cut/002.png,1,train,carpet
carpet/train/good/015.png,0,train,carpet
carpet/train/good/173.png,0,train,carpet
carpet/train/good/036.png,0,train,carpet
carpet/train/good/037.png,0,train,carpet
carpet/train/good/019.png,0,train,carpet
carpet/train/good/203.png,0,train,carpet
carpet/test/hole/006.png,1,train,carpet
carpet/test/good/006.png,0,train,carpet
carpet/test/thread/017.png,1,train,carpet
carpet/train/good/004.png,0,train,carpet
carpet/train/good/109.png,0,train,carpet
carpet/train/good/181.png,0,train,carpet
carpet/train/good/150.png,0,train,carpet
carpet/train/good/220.png,0,train,carpet
carpet/train/good/029.png,0,train,carpet
carpet/train/good/111.png,0,train,carpet
carpet/train/good/078.png,0,train,carpet
carpet/train/good/114.png,0,train,carpet
carpet/test/color/012.png,1,train,carpet
carpet/test/cut/008.png,1,train,carpet
carpet/test/color/006.png,1,train,carpet
carpet/test/metal_contamination/011.png,1,train,carpet
carpet/test/good/021.png,0,train,carpet
carpet/test/good/005.png,0,train,carpet
carpet/train/good/056.png,0,train,carpet
carpet/train/good/267.png,0,train,carpet
carpet/test/good/004.png,0,train,carpet
carpet/train/good/010.png,0,train,carpet
carpet/train/good/246.png,0,train,carpet
carpet/train/good/177.png,0,train,carpet
carpet/train/good/068.png,0,train,carpet
carpet/train/good/182.png,0,train,carpet
carpet/train/good/012.png,0,train,carpet
carpet/train/good/075.png,0,train,carpet
carpet/train/good/116.png,0,train,carpet
carpet/train/good/112.png,0,train,carpet
carpet/train/good/074.png,0,train,carpet
carpet/train/good/003.png,0,train,carpet
carpet/train/good/100.png,0,train,carpet
carpet/train/good/063.png,0,train,carpet
carpet/train/good/061.png,0,train,carpet
carpet/test/thread/004.png,1,train,carpet
carpet/train/good/096.png,0,train,carpet
carpet/train/good/230.png,0,train,carpet
carpet/test/metal_contamination/015.png,1,train,carpet
carpet/train/good/126.png,0,train,carpet
carpet/test/thread/009.png,1,train,carpet
carpet/train/good/148.png,0,train,carpet
carpet/train/good/042.png,0,train,carpet
carpet/train/good/140.png,0,train,carpet
carpet/train/good/195.png,0,train,carpet
carpet/train/good/168.png,0,train,carpet
carpet/test/cut/000.png,1,train,carpet
carpet/train/good/028.png,0,train,carpet
carpet/train/good/232.png,0,train,carpet
carpet/train/good/065.png,0,train,carpet
carpet/train/good/132.png,0,train,carpet
carpet/train/good/057.png,0,train,carpet
carpet/train/good/209.png,0,train,carpet
carpet/train/good/089.png,0,train,carpet
carpet/train/good/006.png,0,train,carpet
carpet/test/color/001.png,1,train,carpet
carpet/train/good/084.png,0,train,carpet
carpet/train/good/224.png,0,train,carpet
carpet/train/good/129.png,0,train,carpet
carpet/train/good/108.png,0,train,carpet
carpet/train/good/059.png,0,train,carpet
carpet/train/good/186.png,0,train,carpet
carpet/test/thread/014.png,1,train,carpet
carpet/test/good/016.png,0,train,carpet
carpet/train/good/118.png,0,train,carpet
carpet/train/good/124.png,0,train,carpet
carpet/train/good/041.png,0,train,carpet
carpet/train/good/178.png,0,train,carpet
carpet/train/good/017.png,0,train,carpet
carpet/train/good/115.png,0,train,carpet
carpet/train/good/180.png,0,train,carpet
carpet/train/good/240.png,0,train,carpet
